"gr:network","gr:site","gr:siteType","gr:wgs84Longitude","gr:wgs84Latitude"
"Nile North Atbarah","38dc6432-ae36-4f4c-8587-5227ce6c75a1","visited",36.1322511985,14.0084136248
"Nile North Atbarah","cc3f97a3-b5b9-47db-9478-38f89ab91e92","visited",33.7418162764,17.799350267
"Nile North Atbarah","296541d1-c942-4dcf-a2cd-80aa7c6eb83a","visited",34.8812740733,17.4246854346
"Nile North Atbarah","4b521935-4508-405a-bbfd-076c34ab126b","visited",33.3392686499,19.6847538582
"Nile North Atbarah","61700ddc-239d-4317-aab0-bb803e67160d","visited",36.2045819697,14.5191494314
"Nile North Atbarah","981fee16-9608-4538-8377-cbd6351d5600","visited",35.0883893554,16.3574654021
"Nile North Atbarah","af9917e3-fc5d-4197-970f-a560b49f142b","visited",35.7151457193,16.5827489204
"Nile North Atbarah","a7b2ad68-6d8c-44a4-8bdc-00893de4eb39","visited",32.6892968029,18.9221097307
"Nile North Atbarah","9f4ef81f-b85f-4b4a-b960-4524da48e46a","visited",34.2504000869,18.3354948345
"Nile North Atbarah","8c3855c8-484d-4389-a9c1-5f600e617090","visited",35.1692338953,16.8959830619
"Nile North Atbarah","5645fe67-6e8e-44a3-8167-6acb5dd902c7","visited",30.3537689757,18.5615502578
"Nile North Atbarah","32aa10a2-ac55-4016-9ce2-babc83337647","visited",32.7737503365,18.894716388
"Nile North Atbarah","0ad1eb3d-c067-4c4e-b2ed-ab35c761fc9d","visited",32.8982108056,19.4187152539
"Nile North Atbarah","e904853b-aaca-40d9-8ef0-2ace156f2235","visited",34.4907979747,16.4603448511
"Nile North Atbarah","d79ae06f-76f0-490c-8e29-a071c3a8a57d","visited",35.3820498952,14.3388344528
"Nile North Atbarah","10ef9c4f-757e-4307-bdc4-948877d01e22","visited",35.5704376842,15.5191072924
"Nile North Atbarah","4240f28e-0a05-48c4-b2c5-14b9c3055d94","visited",35.6807167601,13.7662379428
"Nile North Atbarah","5d6a3ff5-6e33-4410-a153-4d0df8d0b003","visited",31.544404657,17.8128718876
"Nile North Atbarah","d1594e49-7f0a-4982-9a81-afbdb228aaf7","visited",35.6650946454,15.4812054767
"Nile North Atbarah","45854ee4-6f12-474d-bc30-d2ee39d5ba0d","visited",36.1445624253,15.3828573227
"Nile North Atbarah","92911b3f-3629-40a4-91ff-d2e79e12ecca","visited",34.4653119393,16.6879206653
"Nile North Atbarah","b2345d6f-3bc5-4f99-81d6-7bbe934a9a19","visited",35.6622354849,15.8175741456
"Nile North Atbarah","3b5be3fd-7a03-464c-804a-50fd8057dc59","visited",34.08584477,17.1183161075
"Nile North Atbarah","d7cacb4c-3518-4ff4-9f06-912d1650bd10","visited",36.1815528759,15.6686094285
"Nile North Atbarah","6f2fbcbd-ef14-454d-bdca-88fc10a50ffa","visited",30.8081541595,21.1553189704
"Nile North Atbarah","8e9b11c5-f528-462b-9887-e00f5c6806a1","visited",33.6139405247,19.2159690139
"Nile North Atbarah","875f054f-8045-4355-96d8-4d391a8b6a16","visited",35.1925841765,17.2391247926
"Nile North Atbarah","3638bdb5-0d7f-44b7-8998-b5c99db26bea","registered",30.7787967236,17.94268357
"Nile North Atbarah","383537b7-5e89-4c06-8c32-d2168319fde1","registered",33.8630429523,18.1476834708
"Nile North Atbarah","99325436-2c23-4bf2-8167-277d03bb4ee8","registered",31.4483163564,18.1410082764
"Nile North Atbarah","28136299-dc16-45bd-8d88-e2da0e4e26e5","registered",35.4139775161,14.8420192963
"Nile North Atbarah","0fe7ee10-ff35-403b-8015-9108d39686a9","registered",30.3006307379,20.3011237857
"Nile North Atbarah","d4fa21ba-c778-4c31-883d-989c13cd88d6","registered",35.6948694246,17.0516987139
"Nile North Atbarah","97815c83-5e08-426a-9bbc-ce335875342e","registered",31.6094018701,18.1933239336
"Nile North Atbarah","c78fa855-1ff3-46d7-9051-be35f288cdf9","registered",33.9172244847,18.5311465685
"Nile North Atbarah","cbaafa17-94ff-4b0f-8c10-8345446cb811","registered",35.9920671427,15.5797271341
"Nile North Atbarah","9d3880c2-30b6-412e-9651-e2970bc35ae1","registered",34.0438741101,18.8412150496
"Nile North Atbarah","3bb7bf55-26eb-4193-9f56-a1bfc1c058da","registered",32.3791764223,18.7369890617
"Nile North Atbarah","72fd974b-71ce-4d0f-af8f-758e194d3123","registered",35.3018434938,13.6338163256
"Nile North Atbarah","5e981e7b-95fe-469c-ab5f-592107fde679","registered",32.1149346851,18.6420449
"Nile North Atbarah","c77e0692-7eaa-442e-9b0a-032dd74a690c","registered",35.656698889,16.0111615723
"Nile North Atbarah","38dc84dc-c958-4725-a7bd-6a850a5da938","registered",30.8926415224,20.6221783096
"Nile North Atbarah","30ddd497-b4a2-4656-be50-7b418d0a1cfa","registered",33.3556416018,19.0673371746
"Nile North Atbarah","82d9682e-fd63-4ebe-b23a-f6043520fd42","registered",31.0751628713,17.9527491401
"Nile North Atbarah","f9208d7f-8d4d-4221-9220-42f7fea55e05","registered",36.1817600093,15.7109201463
"Nile North Atbarah","4d2a54fd-e297-40d5-acc3-d3d734f1e149","registered",35.7757308187,15.2195523908
"Nile North Atbarah","7f9feadf-e270-419f-8674-a260521d0590","registered",30.7679546847,18.7775761158
"Nile North Atbarah","6b5f2103-4d65-4a09-bc54-2f1a9a9a060b","registered",34.8460709799,16.4871022709
"Nile North Atbarah","4ac0d44c-f934-462e-be49-a8a3c6ccfb83","registered",35.1752736159,14.4361970306
"Nile North Atbarah","9a3ec0fc-6db0-4455-a6c7-003f6bfc59e6","registered",34.5671332285,16.4015385859
"Nile North Atbarah","5fd9fd89-daab-49e9-8e8d-5f67b375ffc7","registered",35.498303335,16.0944385485
"Nile North Atbarah","9967ea17-c5cf-435d-a15a-e2ebecf3432d","registered",32.3080511226,18.6619690353
"Nile North Atbarah","0eb051d6-fe66-43c9-9694-b1a8b8497627","registered",30.6688010165,19.5213194632
"Nile North Atbarah","b03c2228-876d-487d-8e27-a04d3ae51c03","registered",35.3360097329,13.9889174471
"Nile North Atbarah","b7fd682f-9019-4c98-a587-7039f326c97d","registered",35.7973233902,15.6490505301
"Nile North Atbarah","3401b2bd-227f-45eb-9ee0-3a0defd1fb9d","registered",36.2734115961,15.8932361199
"Nile North Atbarah","6de4c39f-6be0-4a4e-9ba1-a939369152e5","registered",33.9610349203,18.7040952465
"Nile North Atbarah","0e651d7a-2ada-4835-82e3-55958f5d961c","registered",32.02558514,19.1226716394
"Nile North Atbarah","6df26bb8-a237-423a-abd6-ccfb8ef20e08","registered",30.8885895382,17.9337745629
"Nile North Atbarah","eb04a4d4-c076-47f4-9b5c-8098a392f85d","registered",35.7936939682,16.4121237552
"Nile North Atbarah","fb4c7d7d-50a8-4545-b4a3-9621e1afc8c4","registered",35.5794676676,14.4770926038
"Nile North Atbarah","5377bb04-e3b4-435e-b8bd-d2210533fd30","registered",34.8174410408,15.9551870718
"Nile North Atbarah","859e6a24-a255-4d38-b779-2b648c113cfe","registered",30.8285513371,21.3547356883
"Nile North Atbarah","c1cbe141-fcf8-440c-b75c-40620402b854","registered",36.2527121181,13.9207726213
"Nile North Atbarah","ae6bb4a6-5c05-4242-9396-5d7bca69b261","registered",35.4842207404,16.1196776455
"Nile North Atbarah","609ea1ed-5230-4201-b083-9a785e101b8f","registered",35.986300913,14.7699827693
"Nile North Atbarah","414ba083-857f-42a5-b25b-b8a17de7cc6d","registered",33.6922709821,19.2051821331
"Nile North Atbarah","388f2465-5b7f-49b4-b738-e9acb39afa9f","registered",32.8622605704,19.12073728
"Nile North Atbarah","d2c2043d-6753-46d2-b911-facbbde7901e","registered",30.7323782146,20.8117424954
"Nile North Atbarah","a00fe4d1-f69a-4081-a981-1c580cf5b31c","registered",36.0876806291,15.6513707056
"Nile North Atbarah","63360bae-f420-478e-bdcc-887b0300c753","registered",31.3177095629,17.7170062638
"Nile North Atbarah","0ad82470-5356-4a7e-86ed-51668657e0fa","registered",36.3229611506,15.8368279877
"Nile North Atbarah","982b2c9b-ff91-4d91-9656-7ccbed8d9a26","registered",30.5950534296,21.1841870986
"Nile North Atbarah","72008c2a-b2e2-4915-9318-9c33902f9d84","registered",34.0973107608,18.8308120627
"Nile North Atbarah","24fee0a7-09f2-4e57-ad38-a50594ae01a5","registered",33.8451046231,18.4883667163
"Nile North Atbarah","120aa2db-a863-4476-bf20-3523ba7da465","registered",30.8520088497,18.2378930089
"Nile North Atbarah","4d4daecb-8955-480e-9b33-8af643bb5071","registered",31.1017187028,17.9686891617
"Nile North Atbarah","4a05b0e0-a1c1-4374-a4b2-f69da44805a5","registered",30.2825942947,19.7102494906
"Nile North Atbarah","43c79e60-2173-4c55-8bab-d7fa7c8b888a","registered",33.4310622916,18.8592840319
"Nile North Atbarah","6227a792-ae3e-4ab7-b8f7-f3b4e563f913","registered",35.3728734422,14.503223643
"Nile North Atbarah","138c3a2a-0da5-4abc-a1a4-7b548eb004b5","registered",30.3565306327,19.8815137761
"Nile North Atbarah","495835ce-3285-4b17-bf4f-2e01265a8bf6","registered",32.4292333982,19.5430543637
"Nile North Atbarah","8a9b98bc-67f4-4467-bf02-ecc5f23fb77b","registered",33.6014116998,19.3460516441
"Nile North Atbarah","56baa6e6-9708-4ba9-aa38-a8c40c344f70","registered",31.1531091629,21.697393885
"Nile North Atbarah","f03188ee-bc79-4651-b377-1f9591c1eb37","registered",35.5260497263,14.3365418781
"Nile North Atbarah","4d7d2979-d455-440d-a480-a0b501971d8f","registered",33.6497754435,18.6023619029
"Nile North Atbarah","41b22a71-2ceb-43d0-a1ad-136ebd0fce70","registered",35.5195776924,15.3928995542
"Nile North Atbarah","dbbcf341-5c4d-46ad-b07a-71345340661b","registered",35.7657296287,15.917423919
"Nile North Atbarah","9d407895-fd63-4a2e-a704-c3cb43fb6e69","registered",30.5763331864,20.1687488689
"Nile North Atbarah","d5bab279-89d0-4e5d-8383-92b44de19883","registered",32.3031611338,18.6275171079
"Nile North Atbarah","85714fc5-d13c-4f84-9191-6ae569683c2f","registered",32.7736460361,18.8701291533
"Nile North Atbarah","fb08bd84-b381-4a9b-b0b1-3dc0ce428bef","registered",30.3198335899,19.7216674318
"Nile North Atbarah","64ee0471-6edb-4062-b6a1-7614816095a3","registered",34.4217462476,16.0790491096
"Nile North Atbarah","3d009bd2-d3ce-4f5d-afaa-4aa41bf1b5f2","registered",34.2317215858,18.0895249415
"Nile North Atbarah","b6c72aee-c593-422d-97bc-f654fc57a9df","registered",31.028602932,21.2413417193
"Nile North Atbarah","08245104-2319-412f-8e98-6692f6083272","registered",34.1607259775,17.6392374327
"Nile North Atbarah","f0d07441-a6df-466f-9d9c-eb51050994c8","registered",30.3050545851,20.791691264
"Nile North Atbarah","17e75996-4c90-42e2-88ff-0d7cb3fd7132","registered",35.0758625781,15.9044065826
"Nile North Atbarah","319291f1-bff2-448d-8479-1d2e9971ad59","registered",33.8030093949,18.3406833109
"Nile North Atbarah","df233f11-e127-46b7-8130-1b5d794cee16","registered",34.6012112458,16.5891841604
"Nile North Atbarah","4ebe1e3a-ea19-47aa-a9cd-165337bb3cfc","registered",34.6526864734,17.0392578199
"Nile North Atbarah","842f354b-7498-4262-b1aa-740f442fe8ec","registered",35.7103579799,14.9077750422
"Nile North Atbarah","5616b45b-6ed6-4ace-8a92-93ecc6717c4e","registered",36.243596773,14.4014195709
"Nile North Atbarah","d4e2503a-0d97-450a-b491-dc2e66ca7227","registered",35.8348249751,14.6843729007
"Nile North Atbarah","841948d8-8130-4ed3-baf7-fa0070a8c9b8","registered",31.9518010612,18.0804486346
"Nile North Atbarah","b46392ae-ca9b-491e-ad0c-54e0a55f9cfa","registered",33.6502590253,18.4448847772
"Nile North Atbarah","a4fdc73a-1bf5-4d1e-960d-04322af21ecc","registered",35.2638086973,13.7190894988
"Nile North Atbarah","ac323496-f0db-4fcb-bd50-82ca1c1f97ce","registered",31.8660696454,18.0951102301
"Nile North Atbarah","cdc53f1a-89bb-425d-ad3d-37f7339d8754","registered",35.2446744241,14.28254524
"Nile North Atbarah","898a9c06-8ff8-4993-b123-0cb5f87a65c2","registered",35.5819914018,14.9363837764
"Nile North Atbarah","a92758cf-9587-46cc-b49b-02a0309148a4","registered",31.9283580053,18.4930408543
"Nile North Atbarah","e95b84ac-267c-4c19-b080-b6a96fe3746c","registered",30.2489720206,20.1915870573
"Nile North Atbarah","264a2ca2-f0d2-4841-830d-ff27fa3a5eb7","registered",33.8697042438,18.3105058054
"Nile North Atbarah","8d50f749-57e6-4615-a6c1-57f89b8e595f","registered",36.3091517985,14.7202585557
"Nile North Atbarah","c8ee863b-ac6b-434b-b7e1-a910324693fe","registered",35.8003303286,16.9250631643
"Nile North Atbarah","443bea96-b786-4a64-8219-5311ab0c7edc","registered",35.038468703,15.6328244448
"Nile North Atbarah","0ea2701e-6d61-4619-a123-ff5671ceb191","registered",30.453522427,20.727384307
"Nile North Atbarah","57a5b92d-40eb-4c0c-8504-ea1535c66ef0","registered",34.1312097657,17.1721878877
"Nile North Atbarah","21a7ed53-79ae-4914-8ce9-d27ff31863f7","registered",36.2104568982,14.9012018609
"Nile North Atbarah","40d314fc-b9b3-48b5-ac1a-6950e2992ac5","registered",34.4500781384,17.6409769149
"Nile North Atbarah","c56c13b8-aae2-4908-83ad-c5327a72fc71","registered",35.6137297678,13.8264042311
"Nile North Atbarah","035401c1-4b16-423a-b095-8192772c6fd2","registered",36.0616182167,14.8050559402
"Nile North Atbarah","58816d00-40c9-46d2-bc12-f40712339141","registered",34.0326635222,18.0771503304
"Nile North Atbarah","cd6adb42-e092-4109-82e7-4718602285fb","registered",35.7286094672,13.4761258742
"Nile North Atbarah","84b33b11-215c-491f-95ec-56ab40ab513b","registered",31.7865332644,18.3216400051
"Nile North Atbarah","6f030030-1aba-4386-8e5a-bdb3d78fcfab","registered",35.9434562066,16.530450836
"Nile North Atbarah","a84501fd-8d7b-4018-84fa-a799c1e0327c","registered",30.6478695234,18.0682354749
"Nile North Atbarah","a953657b-2c50-4fc1-8988-377dc8815c8f","registered",34.5895609568,16.8600275112
"Nile North Atbarah","de401988-eb3e-4782-9140-e3ecb363a132","registered",32.7109763267,19.2832941339
"Nile North Atbarah","a6000c43-e40f-4edc-bdcb-171b91f769fe","registered",35.5933206554,16.3352675708
"Nile North Atbarah","03b80dd8-71d7-423d-98d8-894bbd27aab2","registered",33.1152009108,19.1071134024
"Nile North Atbarah","ec9d75ee-dea2-4691-b30a-5eb813ceecc0","registered",36.0109809653,15.4622361986
"Nile North Atbarah","6ae4e174-3ba9-4b64-9bd8-cde79211d473","registered",35.1572200806,17.2335848277
"Nile North Atbarah","ce4021f9-2c42-4e32-bfdf-8cc963730556","registered",33.7393744921,19.1895899288
"Nile North Atbarah","b51042ee-59d2-4b97-90ba-1c8b14249fd4","registered",30.85047847,18.6952567988
"Nile North Atbarah","c8683938-7cc3-4f08-92ac-9459f9a75fc7","registered",30.2754585435,20.3510791234
"Nile North Atbarah","8b6cc722-9925-4d11-a4a3-4c94396ac6a7","registered",35.2373341806,14.4636542421
"Nile North Atbarah","800bcf25-73f5-4c44-9834-aea99972b7bf","registered",31.9971993294,18.1867597002
"Nile North Atbarah","51adf5cc-6a24-4d26-bdff-2d817c8bde5c","registered",33.8313190609,19.3824639967
"Nile North Atbarah","349ede60-ae46-41d0-b4f5-f7f76c95273a","registered",36.1559250448,16.4914720776
"Nile North Atbarah","dcc50a2a-e6bc-4eb7-a7ba-4f892263e8bb","registered",33.7010536239,18.8440647606
"Nile North Atbarah","fb889101-044b-4e90-ae98-4909038473dd","registered",30.4926278421,18.9951051404
"Nile North Atbarah","86c382f1-92d2-4bcb-83cf-1582263ba94a","registered",34.8397100993,16.7518072197
"Nile North Atbarah","7381768b-e2f9-4ce4-bc28-b79145f48314","registered",32.2121388918,18.2958305521
"Nile North Atbarah","d4997c7a-a61f-4797-8229-7a0bb2ee06c9","registered",35.7980004596,13.6292369983
"Nile North Atbarah","1e2961e2-be64-446f-851b-2930b8e8e2b6","registered",30.3249663334,19.5046588181
"Nile North Atbarah","eaf0cbcc-aeff-44aa-84d4-3aee6820410d","registered",35.4601788462,17.3207880569
"Nile North Atbarah","db5aed3c-ef18-4283-aa85-0a7cec8614e4","registered",30.9322627599,18.2158671321
"Nile North Atbarah","97f66aad-fd1a-407d-b047-d80be2cf3f64","registered",33.7156452757,18.7606259745
"Nile North Atbarah","1ad6c337-bf90-4d83-866f-24c1a328b40c","registered",35.9740840042,14.3638754348
"Nile North Atbarah","f26a6df3-f226-40fd-8fe1-4d6eacd05061","registered",34.6569244105,17.7960352733
"Nile North Atbarah","bb1db0a5-3f58-4379-9855-1c61ac330e15","registered",32.752962151,18.7543058826
"Nile North Atbarah","21985837-8cec-4c82-ba4e-e9fd39bbb10e","registered",35.9743522347,14.3315522235
"Nile North Atbarah","fdc58ffe-7197-44d9-80d8-9ce285345831","registered",32.9904324434,19.1497214003
"Nile North Atbarah","62b4331e-83f2-4ad6-8b88-31dc7c8f4f76","registered",32.8241705976,19.3681770537
"Nile North Atbarah","ea2469e8-e2f4-4b48-877b-a32de5ae5c43","registered",34.696265006,17.8031779048
"Nile North Atbarah","2a961707-c679-4564-afe2-cf6253d862d0","registered",35.4921981066,16.3442406157
"Nile North Atbarah","81593013-c91b-4bd8-b24f-822aa88a175e","registered",31.2956817573,17.6969559024
"Nile North Atbarah","260b6a4d-89fb-4b2e-a8fb-c0d95132b3e8","registered",30.4550463391,20.4887964057
"Nile North Atbarah","9cef8b11-068d-4b0a-9a56-6cab4c471ad5","registered",30.1710924996,19.8545808183
"Nile North Atbarah","faac5c12-efc5-4d8e-9e8c-040fc1b008c9","registered",35.6921225978,16.5553890254
"Nile North Atbarah","c5021da3-dcf3-4853-96f3-7aefe7fe80be","registered",35.770555158,13.6432449115
"Nile North Atbarah","686e40e3-b154-4bc5-966e-64c6c3bb623e","registered",30.3145328197,19.146911257
"Nile North Atbarah","47bff87d-ff3a-45aa-bec9-86f7e236d5bb","registered",31.2994519599,21.6122474227
"Nile North Atbarah","1844d9ef-71cf-4308-8c21-8ea7538c5a5f","registered",36.1150090253,15.0803034979
"Nile North Atbarah","b3f45128-66d0-4f9e-b345-5ed94a928154","registered",30.9420817582,21.3886149165
"Nile North Atbarah","b8a85803-6fc9-45a4-88c2-7df7e4608dfa","registered",30.8409807712,21.5524352843
"Nile North Atbarah","de3053e4-56af-4886-8a2e-ea6130bee3c3","registered",30.5691097462,20.376895264
"Nile North Atbarah","ec3a2252-2b83-4373-bb2e-fe5f056440a0","registered",30.9826404592,21.7220909575
"Nile North Atbarah","c6792746-0ce2-4df8-b672-e960af31ff2c","registered",35.4141334492,15.3333701118
"Nile North Atbarah","5a8b56e6-dabc-468c-a562-eab46b54259e","registered",30.1496711005,20.4564980225
"Nile North Atbarah","a5d54165-476c-45b1-a613-55729ba3a4d3","registered",35.6275228611,13.799706606
"Nile North Atbarah","f3449409-d3ee-431a-9063-cf1be5701cc6","registered",33.9445015761,18.9725028891
"Nile North Atbarah","5aef33be-f76f-4436-a5ea-190123cc8b7b","registered",34.1270396867,16.8157112562
"Nile North Atbarah","b6e65ce5-ac01-4c4a-a3d6-9881b1557fdd","registered",30.6404392465,18.0393215154
"Nile North Atbarah","e245f7b4-9495-4496-b668-fc0a9a08227a","registered",30.7704195417,20.9596392401
"Nile North Atbarah","ee77ff3a-9af2-4544-bc16-15dcfcd96e8a","registered",32.1180021379,19.0393198557
"Nile North Atbarah","720b9910-5b50-4d7c-addc-9b632b9beef8","registered",35.1646796745,13.8881419231
"Nile North Atbarah","52680cc3-a5f5-4410-9b34-2bd299521b5a","registered",36.0125939283,16.6068186953
"Nile North Atbarah","6ccb2e9b-099d-470a-880f-f70941125418","registered",36.4026649337,16.0893474743
"Nile North Atbarah","c06b3943-5a1f-4a12-9cdd-55d1f3297421","registered",33.4837672507,19.4136306818
"Nile North Atbarah","beeb1d33-7e61-4794-bc6e-d69cf64da00f","registered",35.3216414538,14.8501480823
"Nile North Atbarah","3fd0f679-9d3f-4253-8585-bcda80bde25e","registered",36.5932676351,15.946499613
"Nile North Atbarah","ec08af06-e1dc-4ab6-837b-f742ebb10a39","registered",32.8361469281,18.9891809653
"Nile North Atbarah","736b087e-9527-4c07-bc33-bf7d1401b942","registered",36.3652525371,15.8521045395
"Nile North Atbarah","612fb20c-3f50-481f-95ea-d13e286367fe","registered",30.9833037604,21.6137937791
"Nile North Atbarah","497e7115-0c6e-4319-87cd-5263d6ed962c","registered",34.2279130648,17.5895278001
"Nile North Atbarah","27ab334e-b8cf-4662-951b-d8e6e979d03e","registered",35.8275876863,15.3617572713
"Nile North Atbarah","fea9fe31-3e8b-4269-a502-ae251157d7cb","registered",35.7207932469,13.680965066
"Nile North Atbarah","55db39d5-13d2-470b-bb8c-60b4b5af338a","registered",35.8500346188,15.2982281304
"Nile North Atbarah","de6041d5-8034-4fa5-99c7-905f39402922","registered",35.9495923425,15.3157833178
"Nile North Atbarah","fc020751-10bf-41b0-90d5-c622ebf1d966","registered",35.2679628115,17.4333928108
"Nile North Atbarah","f0e00021-f7a6-4076-8ced-030bebc84742","registered",32.3077308333,18.5703190116
"Nile North Atbarah","1b4acb9d-f792-453a-ac5c-f9621bfbdd7b","registered",30.9213718076,18.5444687002
"Nile North Atbarah","c04de680-0832-4918-bc01-d017124a0833","registered",30.3184998605,20.5608933363
"Nile North Atbarah","adc84b6d-b419-4fef-8e49-dd9159da13b1","registered",32.4414514043,19.6559978387
"Nile North Atbarah","2adf46ca-eaa3-48e4-b47f-9a791fc645db","registered",35.764370664,15.0879854493
"Nile North Atbarah","4f3a3e53-44c4-40d0-8ed7-53e2c906b323","registered",30.7639968714,19.0204785502
"Nile North Atbarah","1d9d4ef9-fe51-4c22-b893-5480b6ab993a","registered",34.22918247,18.0246904393
"Nile North Atbarah","4ef673c5-ac16-4b5b-8daf-720604215a61","registered",35.0662793732,14.9145662046
"Nile North Atbarah","7e2d0bc7-b299-43cf-9a20-10db3a75505c","registered",35.2999220321,16.245411752
"Nile North Atbarah","d111c6b9-18ce-4215-bd53-d8343b65ca49","registered",36.1968317468,15.0803592786
"Nile North Atbarah","40f52670-bc1f-444b-8fbc-0b4577e2b255","registered",34.0751208623,17.3335762614
"Nile North Atbarah","d8810c07-57a5-4056-9a71-1dc11f619fe1","registered",35.8248943909,13.2490033651
"Nile North Atbarah","9fde76cc-af95-4064-9426-c385e5404498","registered",35.7005847133,15.0154973282
"Nile North Atbarah","84a7b6e1-3e48-47b4-a2fb-fdd2ec09ac80","registered",35.8579289909,16.4222311299
"Nile North Atbarah","27e518d6-ea3b-4d9e-af23-8dd1ea154a5a","registered",35.9706209969,16.3825545267
"Nile North Atbarah","ae1ede4c-0920-47aa-bfe8-aad9657e8b51","registered",35.4438225278,16.2212294949
"Nile North Atbarah","93d69af3-ff99-41a8-88a6-c27503a4a9a0","registered",35.159948251,15.7478488582
"Nile North Atbarah","dee40322-76c0-42de-b923-ab8538b9614b","registered",30.8825803667,20.950581012
"Nile North Atbarah","2a9c3d78-78a6-4063-a3cd-37ac494ff094","registered",32.3627783139,19.6103465133
"Nile North Atbarah","055271f3-9bce-4b8c-9291-cd28d2b32db4","registered",34.5028253003,16.0693503816
"Nile North Atbarah","5b55d550-d6dd-4530-9680-d038091bb975","registered",36.0916288148,15.9310977297
"Nile North Atbarah","8d5b7267-4fa2-4ccd-aadb-d838fabd71b4","registered",32.8374666963,19.3531260519
"Nile North Atbarah","159aa9d4-b85e-4995-82ee-5047fb0a2730","registered",30.176304343,20.4478780599
"Nile North Atbarah","b8b040af-838c-42d5-8ce2-bca67df31b47","registered",35.8484756079,16.4439829315
"Nile North Atbarah","4a5b474e-1c8f-470c-b084-2ab4c01342a3","registered",31.1714390782,18.1600055034
"Nile North Atbarah","6162477e-ec8f-4467-831c-abd9f519d86d","registered",34.3116070952,17.6345205525
"Nile North Atbarah","f1f5ad3d-3b47-47b4-9616-17d6af90073e","registered",34.6007667671,17.0007503706
"Nile North Atbarah","9dfdf976-3481-44f2-a785-0c33140deca0","registered",35.2319681854,14.3397029345
